RM,8
EV,302,0
EV,303,0
EV,304,0
EV,305,0
EV,306,0
EV,307,0
EV,308,0
EV,309,0
EV,310,0
EV,311,0
EV,312,0
EV,313,0
EV,314,0
EV,315,0
EV,316,0
EV,317,0
EV,318,0
EV,319,0
EV,320,0
EV,321,0
EV,322,0
EV,323,0
EV,324,0
EV,325,0
EV,326,0
EV,327,0
EV,328,0
EV,329,0
EV,330,0
EV,331,0
EV,332,0
EV,333,0
EV,334,0
EV,335,0
EV,336,0
EV,337,0
EV,338,0
EV,339,0
EV,340,0
EV,341,0
EV,342,0
EV,343,0
EV,344,0
EV,345,0
EV,346,0
EV,347,0
EV,348,0
EV,349,0
EV,350,0
EV,351,0
EV,352,0
EV,353,0
EV,354,0
EV,355,0
EV,356,0
EV,357,0
EV,358,0
EV,359,0
EV,360,0
EV,361,0
EV,362,0
EV,363,0
EV,364,0
EV,365,0
EV,366,0
EV,367,0
EV,368,0
EV,369,0
EV,370,0
EV,371,0
EV,372,0
EV,373,0
EV,374,0
EV,375,0
EV,376,0
EV,377,0
EV,378,0
EV,379,0
EV,380,0
EV,381,0
EV,382,0
EV,383,0
EV,384,0
EV,385,0
EV,386,0
EV,387,0
EV,388,0
EV,389,0
EV,390,0
EV,391,0
EV,392,0
EV,393,0
EV,394,0
EV,395,0
EV,396,0
EV,397,0
EV,398,0
EV,399,0
EV,400,0
EV,401,0
EV,402,0
EV,403,0
EV,404,0
EV,405,0
EV,406,0
EV,407,0
EV,408,0
EV,409,0
EV,410,0
EV,411,0
EV,412,0
EV,413,0
EV,414,0
EV,415,0
EV,416,0
EV,417,0
EV,418,0
EV,419,0
EV,420,0
EV,421,0
EV,422,0
EV,423,0
EV,424,0
EV,425,0
EV,426,0
EV,427,0
EV,428,0
EV,429,0
EV,430,0
EV,431,0
EV,432,0
EV,433,0
EV,434,0
EV,435,0
EV,436,0
EV,437,0
EV,438,0
EV,439,0
EV,440,0
EV,441,0
EV,442,0
EV,443,0
EV,444,0
EV,445,0
EV,446,0
EV,447,0
EV,448,0
EV,449,0
EV,450,0
EV,451,0
EV,452,0
EV,453,0
EV,454,0
EV,455,0
EV,456,0
EV,457,0
EV,458,0
EV,459,0
EV,460,0
EV,461,0
EV,462,0
EV,463,0
EV,464,0
EV,465,0
EV,466,0
EV,467,0
EV,468,0
EV,469,0
EV,470,0
EV,471,0
EV,472,0
EV,473,0
EV,474,0
EV,475,0
EV,476,0
EV,477,0
EV,478,0
EV,479,0
EV,480,0
EV,481,0
EV,482,0
EV,483,0
EV,484,0
EV,485,0
EV,486,0
EV,487,0
EV,488,0
EV,489,0
EV,490,0
EV,491,0
EV,492,0
EV,493,0
EV,494,0
EV,495,0
EV,496,0
EV,497,0
EV,498,0
EV,499,0
EV,500,0
EV,501,0
EV,502,0
EV,503,0
EV,504,0
EV,505,0
EV,506,0
EV,507,0
EV,508,0
EV,509,0
EV,510,0
EV,511,0
EV,512,0
EV,513,0
EV,514,0
EV,515,0
EV,516,0
EV,517,0
EV,518,0
EV,519,0
EV,520,0
EV,521,0
EV,522,0
EV,523,0
EV,524,0
EV,525,0
EV,526,0
EV,527,0
EV,528,0
EV,529,0
EV,530,0
EV,531,0
EV,532,0
EV,533,0
EV,534,0
EV,535,0
EV,536,0
EV,537,0
EV,538,0
EV,539,0
EV,540,0
EV,541,0
EV,542,0
EV,543,0
EV,544,0
EV,545,0
EV,546,0
EV,547,0
EV,548,0
EV,549,0
EV,550,0
EV,551,0
EV,552,0
EV,553,0
EV,554,0
EV,555,0
EV,556,0
EV,557,0
EV,558,0
EV,559,0
EV,560,0
EV,561,0
EV,562,0
EV,563,0
EV,564,0
EV,565,0
EV,566,0
EV,567,0
EV,568,0
EV,569,0
EV,570,0
EV,571,0
EV,572,0
EV,573,0
EV,574,0
EV,575,0
EV,576,0
EV,577,0
EV,578,0
EV,579,0
EV,580,0
EV,581,0
EV,582,0
EV,583,0
EV,584,0
EV,585,0
EV,586,0
EV,587,0
EV,588,0
EV,589,0
EV,590,0
EV,591,0
EV,592,0
EV,593,0
EV,594,0
EV,595,0
EV,596,0
EV,597,0
EV,598,0
EV,599,0
EV,600,0
EV,601,0
EV,602,0
EV,603,0
EV,604,0
EV,605,0
EV,606,0
EV,607,0
EV,608,0
EV,609,0
EV,610,0
EV,611,0
EV,612,0
EV,613,0
EV,614,0
EV,615,0
EV,616,0
EV,617,0
EV,618,0
EV,619,0
EV,620,0
EV,621,0
EV,622,0
EV,623,0
EV,624,0
EV,625,0
EV,626,0
EV,627,0
EV,628,0
EV,629,0
EV,630,0
EV,631,0
EV,632,0
EV,633,0
EV,634,0
EV,635,0
EV,636,0
EV,637,0
EV,638,0
EV,639,0
EV,640,0
EV,641,0
EV,642,0
EV,643,0
EV,644,0
EV,645,0
EV,646,0
EV,647,0
EV,648,0
EV,649,0
EV,650,0
EV,651,0
EV,652,0
EV,653,0
EV,654,0
EV,655,0
EV,656,0
EV,657,0
EV,658,0
EV,659,0
EV,660,0
EV,661,0
EV,662,0
EV,663,0
EV,664,0
EV,665,0
EV,666,0
EV,667,0
EV,668,0
EV,669,0
EV,670,0
EV,671,0
EV,672,0
EV,673,0
EV,674,0
EV,675,0
EV,676,0
EV,677,0
EV,678,0
EV,679,0
EV,680,0
EV,681,0
EV,682,0
EV,683,0
EV,684,0
EV,685,0
EV,686,0
EV,687,0
EV,688,0
EV,689,0
EV,690,0
EV,691,0
EV,692,0
EV,693,0
EV,694,0
EV,695,0
EV,696,0
EV,697,0
EV,698,0
EV,699,0
EV,700,0
EV,701,0
EV,702,0
EV,703,0
EV,704,0
EV,705,0
EV,706,0
EV,707,0
EV,708,0
EV,709,0
EV,710,0
EV,711,0
EV,712,0
EV,713,0
EV,714,0
EV,715,0
EV,716,0
EV,717,0
EV,718,0
EV,719,0
EV,720,0
EV,721,0
EV,722,0
EV,723,0
EV,724,0
EV,725,0
EV,726,0
EV,727,0
EV,728,0
EV,729,0
EV,730,0
EV,731,0
EV,732,0
EV,733,0
EV,734,0
EV,735,0
EV,736,0
EV,737,0
EV,738,0
EV,739,0
EV,740,0
EV,741,0
EV,742,0
EV,743,0
EV,744,0
EV,745,0
EV,746,0
EV,747,0
EV,748,0
EV,749,0
EV,750,0
EV,751,0
EV,752,0
EV,753,0
EV,754,0
EV,755,0
EV,756,0
EV,757,0
EV,758,0
EV,759,0
EV,760,0
EV,761,0
EV,762,0
EV,763,0
EV,764,0
EV,765,0
EV,766,0
EV,767,0
EV,768,0
EV,769,0
EV,770,0
EV,771,0
EV,772,0
EV,773,0
EV,774,0
EV,775,0
EV,776,0
EV,777,0
EV,778,0
EV,779,0
EV,780,0
EV,781,0
EV,782,0
EV,783,0
EV,784,0
EV,785,0
EV,786,0
EV,787,0
EV,788,0
EV,789,0
EV,790,0
EV,791,0
EV,792,0
EV,793,0
EV,794,0
EV,795,0
EV,796,0
EV,797,0
EV,798,0
EV,799,0
EV,800,0
EV,801,0
EV,802,0
EV,803,0
EV,804,0
EV,805,0
EV,806,0
EV,807,0
EV,808,0
EV,809,0
EV,810,0
EV,811,0
EV,812,0
EV,813,0
EV,814,0
EV,815,0
EV,816,0
EV,817,0
EV,818,0
EV,819,0
EV,820,0
EV,821,0
EV,822,0
EV,823,0
EV,824,0
EV,825,0
EV,826,0
EV,827,0
EV,828,0
EV,829,0
EV,830,0
EV,831,0
EV,832,0
EV,833,0
EV,834,0
EV,835,0
EV,836,0
EV,837,0
EV,838,0
EV,839,0
EV,840,0
EV,841,0
EV,842,0
EV,843,0
EV,844,0
EV,845,0
EV,846,0
EV,847,0
EV,848,0
EV,849,0
EV,850,0
EV,851,0
EV,852,0
EV,853,0
EV,854,0
EV,855,0
EV,856,0
EV,857,0
EV,858,0
EV,859,0
EV,860,0
EV,861,0
EV,862,0
EV,863,0
EV,864,0
EV,865,0
EV,866,0
EV,867,0
EV,868,0
EV,869,0
EV,870,0
EV,871,0
EV,872,0
EV,873,0
EV,874,0
EV,875,0
EV,876,0
EV,877,0
EV,878,0
EV,879,0
EV,880,0
EV,881,0
EV,882,0
EV,883,0
EV,884,0
EV,885,0
EV,886,0
EV,887,0
EV,888,0
EV,889,0
EV,890,0
EV,891,0
EV,892,0
EV,893,0
EV,894,0
EV,895,0
EV,896,0
EV,897,0
EV,898,0
EV,899,0
EV,900,0
EV,901,0
EV,902,0
EV,903,0
EV,904,0
EV,905,0
EV,906,0
EV,907,0
EV,908,0
EV,909,0
EV,910,0
EV,911,0
EV,912,0
EV,913,0
EV,914,0
EV,915,0
EV,916,0
EV,917,0
EV,918,0
EV,919,0
EV,920,0
EV,921,0
EV,922,0
EV,923,0
EV,924,0
EV,925,0
EV,926,0
EV,927,0
EV,928,0
EV,929,0
EV,930,0
EV,931,0
EV,932,0
EV,933,0
EV,934,0
EV,935,0
EV,936,0
EV,937,0
EV,938,0
EV,939,0
EV,940,0
EV,941,0
EV,942,0
EV,943,0
EV,944,0
EV,945,0
EV,946,0
EV,947,0
EV,948,0
EV,949,0
EV,950,0
EV,951,0
EV,952,0
EV,953,0
EV,954,0
EV,955,0
EV,956,0
EV,957,0
EV,958,0
EV,959,0
EV,960,0
EV,961,0
EV,962,0
EV,963,0
EV,964,0
EV,965,0
EV,966,0
EV,967,0
EV,968,0
EV,969,0
EV,970,0
EV,971,0
EV,972,0
EV,973,0
EV,974,0
EV,975,0
EV,976,0
EV,977,0
EV,978,0
EV,979,0
EV,980,0
EV,981,0
EV,982,0
EV,983,0
EV,984,0
EV,985,0
EV,986,0
EV,987,0
EV,988,0
EV,989,0
EV,990,0
EV,991,0
EV,992,0
EV,993,0
EV,994,0
EV,995,0
EV,996,0
EV,997,0
EV,998,0
PLR,5604,2001
SCR,13050
MON,139
INV,0,0
INV,1,0
INV,2,0
INV,3,0
